epoch	train_loss	positive_cosine	negative_cosine	cosine_gap	h_std	val_accuracy	val_macro_f1	val_balanced_accuracy	seconds
13	4.342382302302371	0.9447219145162024	0.9110102295422282	0.03371168497397419	0.044384821172902794	0.29303803957756586	0.25373903701261263	0.3064346854601161	28.951438300005975
14	4.33969300781366	0.9450190348316961	0.9105591447634389	0.03445989006825726	0.04610472639930566	0.2830923818312314	0.24715372112268394	0.2948086425871249	29.34165149999899
15	4.3240363625065905	0.9440615861588104	0.9071612383022961	0.03690034785651435	0.04775882197876847	0.2825797190608018	0.2520136857598794	0.29261618883173884	28.59423770000285
16	4.298192876373407	0.94248103347568	0.900956872978138	0.041524160497542116	0.05024952100087028	0.27991387265456785	0.2522327909997459	0.29118321159478083	5.637916399995447
17	4.277630412533256	0.9419345608682234	0.8971880622236448	0.044746498644578594	0.05198530096404906	0.3010355787962678	0.2618689342726312	0.30541359615413594	5.578606299997773
18	4.262982783662049	0.9413868703316373	0.8936827395805388	0.047704130751098514	0.053893740342030504	0.29713934174100276	0.2650021490676097	0.3011986900305767	5.70026680000592
19	4.2424366809569385	0.9413719043532252	0.8895870619400372	0.05178484241318793	0.05417957305624911	0.2973444068491746	0.26507255998744167	0.3000905337021233	6.214379100012593
20	4.231004985113108	0.9410533150339307	0.8872310845570872	0.05382223047684354	0.05522115980434327	0.294165897672511	0.2616334296133404	0.2990734724332988	5.717203500011237
21	4.204666361609339	0.9409198570614079	0.8823478260421028	0.058572031019305096	0.05620372973864069	0.2998051881472367	0.264482435141379	0.3010415467345821	5.656402499997057
22	4.184184912039753	0.9405217315760855	0.8775394339071934	0.06298229766889217	0.0577567907850552	0.30195837178304114	0.26601353372369535	0.3004757587455269	5.667091600000276
23	4.17637726562558	0.9401149727092496	0.8756991368736151	0.06441583583563452	0.05896178713712855	0.3018558392289552	0.26496073705057616	0.3002681573215278	5.732043600000907
24	4.157589266055437	0.9405400356412387	0.8722499062806481	0.0682901293605906	0.05910496845728091	0.30441915308110323	0.26910639592193747	0.3025652914518709	5.777011400001356
25	4.154278236650242	0.9410579941118625	0.8715979160011494	0.06946007811071302	0.05896932089226781	0.300830513688096	0.2661042105692977	0.29760835948364767	9.474431299997377
26	4.136156392188127	0.940417998870516	0.8669080509885636	0.07350994788195243	0.0590062791148746	0.3037014252025018	0.27066922265712795	0.3021465560412732	28.00251500000013
27	4.129488397460474	0.941132606435638	0.8656247872363478	0.07550781919929012	0.05932831990854822	0.29488362555111247	0.25862711262899674	0.29282099766878694	28.91576889999851
28	4.119426652052557	0.940469659100014	0.8637614209389052	0.07670823816110879	0.06040592247995587	0.30503434840561877	0.2667491918511739	0.30104522284859325	27.806082299997797
29	4.113048119236761	0.9407667866677839	0.8617956042289734	0.07897118243881052	0.06003682957006045	0.3035988926484159	0.2619472649614191	0.29952665931327943	27.862698500000988
30	4.1086917639685225	0.9411677670569474	0.8611512317856909	0.0800165352712566	0.06040223486749845	0.30493181585153284	0.2655142531449333	0.30200399355004	27.85076129999652
31	4.0989479184603965	0.9412349283468587	0.8586783524701804	0.08255657587667835	0.06033165764219407	0.29580641853788575	0.26145013389909305	0.29627311351612856	27.71026969999366
32	4.086615927772377	0.9418095019380402	0.856838762986796	0.08497073895124428	0.060236884939693223	0.30042038347175226	0.2589630613544049	0.2948631648816445	27.657582200001343
33	4.078923990517968	0.9408586952169585	0.8539231834302837	0.08693551178667482	0.06092227741849286	0.30247103455347074	0.26324246788643	0.29994516220150286	27.72948299998825
34	4.084583134705576	0.9418621684208569	0.8552637204471196	0.08659844797373724	0.06048679395716906	0.3022659694452989	0.2661308514509689	0.299232161466937	27.716452600012417
